"countryname","region","deaths.1000.live.births","years","deaths.100000.live.births"
"suriname","South America",29.6,72.7,84
"sweden","Europe",2.3,82.9,4
"switzerland","Europe",3,83.9,5
"syria","Middle East",15.1,74.8,20
"taiwan","East and Southeast Asia",3.8,81.6,NA
"tajikistan","Central Asia",21.7,71.9,14
"tanzania","Africa",29.6,70.8,276
"thailand","East and Southeast Asia",6.3,78.2,34
"timor-leste","East and Southeast Asia",32.2,70.5,192
"togo","Africa",38.4,72.1,349
"tonga","Australia and Oceania",11.8,78,67
"trinidad-and-tobago","Central America and the Caribbean",15.1,76.5,54
"tunisia","Africa",11.3,77.3,36
"turkey-turkiye","Middle East",18.4,76.7,15
"turkmenistan","Central Asia",35.9,72.4,5
"turks-and-caicos-islands","Central America and the Caribbean",11.1,81.3,NA
"tuvalu","Australia and Oceania",27.8,69,170
"uganda","Africa",28.5,69.7,170
"ukraine","Europe",8.7,70.5,15
"united-arab-emirates","Middle East",5,79.9,3
"united-kingdom","Europe",3.8,82.2,8
"united-states","North America",5.1,80.9,17
"uruguay","South America",8,78.9,15
"uzbekistan","Central Asia",18.2,76.2,26
"vanuatu","Australia and Oceania",13.7,75.7,100
"venezuela","South America",13.9,74.5,227
"vietnam","East and Southeast Asia",14.1,76.1,48
"virgin-islands","Central America and the Caribbean",7.3,80.7,NA
"wallis-and-futuna","Australia and Oceania",3.9,81.1,NA
"west-bank","Middle East",15.1,76.5,16
"yemen","Middle East",44.6,68.2,118
"zambia","Africa",35.6,66.9,85
"zimbabwe","Africa",33.4,67.2,358
